Artist,Producer,weight
Diverse,Prefuse 73,1
Diverse,Rato,1
Diverse,Sero,1
Diverse,Bionic Beatz,1
Diverse,Deza,3
Diverse,Prblmbeatz,1
Diverse,Ification,2
Diverse,Flaverbeatz,1
Do or Die,The Legendary Traxster,29
Do or Die,AK47,2
Do or Die,Mike Dean,4
Do or Die,No I.D.,1
Do or Die,Day Rock,2
Do or Die,DJ Quik,1
Do or Die,Mr. Lee,7
Do or Die,Datanna,1
Do or Die,Naki,1
Do or Die,Cayex,1
Do or Die,Kanye West,2
Do or Die,Wax Master,1
Do or Die,Toxic,2
Do or Die,Vudu,1
Do or Die,R. Kelly,1
Do or Die,Irv Gotti,1
Do or Die,Joe Bythewood,1
Do or Die,Mike Dunn,1
R. Kelly,J.U.S.T.I.C.E. League,1
R. Kelly,J.LBS,1
R. Kelly,Luny Tunes,1
R. Kelly,Nely El Arma Secreta,1
R. Kelly,Destin Reza Mungall,1
R. Kelly,Rahk,1
R. Kelly,Taurean Newsome,1
R. Kelly,Win on the Track,1
R. Kelly,Verse Simmonds,1
R. Kelly,Red Hot Lover Tone,1
R. Kelly,Poke of Trackmasters,1
R. Kelly,Trackmasters,8
R. Kelly,Khao,1
R. Kelly,Precision,1
R. Kelly,Mysto,1
R. Kelly,Pizzi,1
R. Kelly,"Jerry ""Wonda"" Duplessis",1
R. Kelly,Wyclef Jean,1
R. Kelly,Belo Zero,1
R. Kelly,Do or Die,1
R. Kelly,Twista,1
R. Kelly,G-One,1
R. Kelly,Lawrence Franks Jr,1
R. Kelly,Huey,1
R. Kelly,Maejor Ali,1
R. Kelly,Lil Ronnie,2
R. Kelly,"Lamar ""Mars"" Edwards",1
R. Kelly,Cashmere Cat,1
R. Kelly,Nineteen85,1
R. Kelly,Scott Storch,1
R. Kelly,Tra Beats,1
R. Kelly,Lil Ronny,1
R. Kelly,"Ron ""Amen-Ra"" Lawrence",1
R. Kelly,Stevie J,1
R. Kelly,Puff Daddy,1
R. Kelly,DJ Mustard,1
R. Kelly,Cem T,1
R. Kelly,J Holt,1
R. Kelly,The Runners,1
R. Kelly,Chris Millionaire,1
R. Kelly,Cory Keyz Martin,1
R. Kelly,Childish Major,1
R. Kelly,DeVante Swing,1
R. Kelly,Epikh Pro,1
R. Kelly,S1,1
R. Kelly,Barry Hankerson,1
Dreezy,1500 or Nothin',3
Dreezy,Terrace Martin,2
Dreezy,D. Brooks Exclusive,12
Dreezy,KeY Wane,1
Dreezy,J Felton,1
Dreezy,B Hazzard,1
Dreezy,M Tucker,1
Dreezy,RIOMAC_HSP,1
Dreezy,Stalnecker,1
Dreezy,DJ AK47,1
Dreezy,Nick Smith,1
Dreezy,Brody Brown,1
Dreezy,Deputy,1
Dreezy,ZthePRO,1
Dreezy,Fayo N Chill,1
Dreezy,Eric Goudy III,1
Dreezy,Cardo,1
Dreezy,OZ,1
Dreezy,Southside,2
Dreezy,Metro Boomin,1
Dreezy,CuBeatz,1
Dreezy,TM88,1
Dreezy,Dre Butterz,1
Dreezy,Greg Kurstin,1
Dreezy,Detail,1
Dreezy,J-Hill,1
Fredo Santana,Mexikodro,1
Fredo Santana,Hurtboy AG,11
Fredo Santana,DY of 808 Mafia,9
Fredo Santana,TrapMoneyBenny,5
Fredo Santana,Marvin Cruz,5
Fredo Santana,Metro Boomin,5
Fredo Santana,Zaytoven,3
Fredo Santana,Corey Lingo,1
Fredo Santana,MPC Cartel,2
Fredo Santana,G5Kid,1
Fredo Santana,DP Beats,1
Fredo Santana,Lex Luger,5
Fredo Santana,12 Hunna,9
Fredo Santana,Dirty Vans,5
Fredo Santana,Will-A-Fool,4
Fredo Santana,Dezzy,1
Fredo Santana,Deezy,1
Fredo Santana,DJ L Beats,1
Fredo Santana,Young Chop,7
Fredo Santana,DJKenn,6
Fredo Santana,Murda,4
Fredo Santana,808MafiaDY,1
Fredo Santana,Tarentino,7
Fredo Santana,StoopidXool,3
Fredo Santana,808 Mafia,1
Fredo Santana,Cardo,1
Fredo Santana,Chief Keef,1
Fredo Santana,Bobby Johnson Beats,1
Fredo Santana,Ralph1,1
Fredo Santana,Southside,2
Fredo Santana,TM88,2
Fredo Santana,CashMoneyAP,1
Fredo Santana,Vince carter,1
Fredo Santana,Ducko Mcfli,1
Fredo Santana,Childish Major,1
Fredo Santana,BeatPluggTwo,1
Fredo Santana,C-Sick,2
Fredo Santana,J-Hill,1
Fredo Santana,Paris Bueller,1
G Herbo,Southside,5
G Herbo,Luca Vialli,3
G Herbo,DJKenn,2
G Herbo,DY of 808 Mafia,1
G Herbo,DJ L Beats,29
G Herbo,Da Honorable C.N.O.T.E.,1
G Herbo,DJ Surgeonz,1
G Herbo,Block On Da Trakk,1
G Herbo,DP Beats,4
G Herbo,Lil Chriiz,1
G Herbo,Charlie Handsome,1
G Herbo,Kilo Beats,1
G Herbo,DJ Pain,1
G Herbo,Chase Davis,4
G Herbo,Harry Fraud,2
G Herbo,C-Sick,11
G Herbo,DJ L,3
G Herbo,Lewi-V Beatz,1
G Herbo,Brian Miller,2
G Herbo,Metro Boomin,2
G Herbo,Tapez,1
G Herbo,Chimaca,1
G Herbo,Jahlil Beats,1
G Herbo,Slade Da Monsta,1
G Herbo,RandomBlackDude,1
G Herbo,J-Blockmusic,1
G Herbo,Showtyme,1
G Herbo,Childish Major,2
G Herbo,Shawty Fresh,1
G Herbo,DJ Fu,1
G Herbo,Da Internz,1
G Herbo,Dbrooks,1
G Herbo,OZ,1
G Herbo,Don Robb,1
G Herbo,Kid Marquis,1
G Herbo,Mekanikz,1
G Herbo,Syk Sense,1
G Herbo,Austin Millz,1
G Herbo,DJ L & CHASE DAVIS,1
G Herbo,Kid Deezy,1
G Herbo,J. Brown,1
G Herbo,Nascent,1
G Herbo,Young Fly,1
G Herbo,808 Mafia,1
G Herbo,Traphustlebeats,1
G Herbo,Zaytoven,1
G Herbo,BadAzzbx,1
G Herbo,Dree The Drummer,1
G Herbo,Snap Back,1
G Herbo,Cardiak Beats,1
G Herbo,Snapback On The Track,1
Gerald Walker,Cardo,7
Gerald Walker,Giorgio Oehlers,1
Gerald Walker,J.LBS,3
Gerald Walker,Kuddie Fresh,1
Gerald Walker,RicandThadeus,1
Gerald Walker,S.L.O.T-A,1
Gerald Walker,Swiff D,1
Gerald Walker,Oddisee,1
GLC,Kanye West,3
GLC,Blended Babies,2
GLC,Jermaine Dupri,1
GLC,T-Pain,1
GLC,STIFF FOREVER,1
Jeremih,Mike WiLL Made-It,2
Jeremih,Bongo the Drum GAHD,2
Jeremih,Prolyfic,1
Jeremih,FKi,2
Jeremih,Soundz,18
Jeremih,Reno,2
Jeremih,Mick Schultz,11
Jeremih,Jae Enn,1
Jeremih,Shlohmo,2
Jeremih,Vinylz,2
Jeremih,S.K.,2
Jeremih,DJ Spinz,1
Jeremih,KeY Wane,1
Jeremih,Xeryus,1
Jeremih,Sondre,1
Jeremih,Tunde,1
Jeremih,The Insomniakz,1
Jeremih,DJ Mustard,10
Jeremih,Mike Free,2
Jeremih,Drumma Boy,1
Jeremih,Keith James,1
Jeremih,Retro Future,3
Jeremih,O.C.,1
Jeremih,Kevin Figs,1
Jeremih,Tariq Beats,1
Jeremih,OZ,1
Jeremih,The MeKanics,1
Jeremih,Brilliance,1
Jeremih,Murda,1
Jeremih,Knuckle Head,1
Jeremih,The Exclusives,1
Jeremih,London On Da Track,1
Jeremih,Yung Berg,2
Jeremih,Cook Classics,1
Jeremih,Tha Audio Unit,2
Jeremih,Young Yonny,1
Jeremih,Sevn Thomas,1
Jeremih,Cashmere Cat,1
Jeremih,Lindsay Lowend,1
Jeremih,Donut,1
Jeremih,Needlz,1
Jeremih,J.U.S.T.I.C.E. League,1
Jeremih,Teddy Pena,2
Jeremih,The Social Experiment,1
Jeremih,Lido,1
Jeremih,Frank Dukes,1
Jeremih,The Futuristiks,2
Jeremih,Dre Moon,1
Jeremih,Kevin Cubeatz,1
Jeremih,David Guetta,1
Jeremih,Big A,1
Jeremih,Cardiak,1
Yung Berg,JFK,1
Yung Berg,Rob Holladay,3
Yung Berg,Arch The Boss,1
Yung Berg,JFK Productions,1
Kid Sister,Alex Epton,1
Kid Sister,A-Trak,1
Lil Bibby,Jusakid,1
Lil Bibby,Ryu,1
Lil Bibby,KidWond3r,1
Lil Bibby,Echo,1
Lil Bibby,Metro Boomin,2
Lil Bibby,Don Robb,7
Lil Bibby,C-Sick,3
Lil Bibby,DJ L Beats,14
Lil Bibby,P-Lo,1
Lil Bibby,Elevator,1
Lil Bibby,Donut,1
Lil Bibby,Needlz,1
Lil Bibby,Bran'Nu,1
Lil Bibby,Bangladesh,1
Lil Bibby,Luca Vialli,3
Lil Bibby,DJ L,3
Lil Bibby,Da Honorable C.N.O.T.E.,2
Lil Bibby,C Biz,1
Lil Bibby,DZL,1
Lil Bibby,Chiraq Drillinois Musik,1
Lil Bibby,ChopsquadDJ,1
Lil Bibby,Will-A-Fool,1
Lil Bibby,Chase Davis,1
Lil Bibby,Goose,1
Lil Bibby,ALLBLCK,1
Lil Bibby,League of Starz,1
Lil Bibby,Sonny Digital,1
Lil Bibby,SAK PASE,1
Lil Bibby,Habib,1
Lil Bibby,Willie B,1
Lil Bibby,Mitch,1
Lil Bibby,Southside,4
Lil Bibby,Pro Logic,1
Lil Bibby,Young Chop,2
Lil Bibby,Da Internz,1
Lil Bibby,Lil Awree,1
Lil Bibby,Crazy Mike,1
Lil Bibby,Juicy J,1
Lil Bibby,Nito Beats,1
Lil Bibby,The Olympicks,1
Lil Bibby,Cannon Boyz,1
Lil Bibby,D.A. Doman,1
Lil Bibby,J Holt,1
Lil Bibby,Jake One,1
Lil Bibby,I.TrezBeats,1
Lil Bibby,Ryan Ryu,1
Lil Bibby,OZ,1
Lil Bibby,Dree The Drummer,1
Lil Bibby,Black Metaphor,2
Lil Bibby,DJ Pain 1,1
Lil Bibby,CashMoneyAP,1
Lil Bibby,Kane,1
Lil Bibby,Rey Reel,1
Lil Bibby,Hit-Boy,1
Lil Bibby,Squat,1
Lil Durk,TGM,1
Lil Durk,Paris Bueller,14
Lil Durk,J.U.S.T.I.C.E. League,1
Lil Durk,C-Sick,15
Lil Durk,Young Chop,23
Lil Durk,Yung Cryptonite,2
Lil Durk,Nito Beats,6
Lil Durk,Blickie Blaze,1
Lil Durk,Four Kings,1
Lil Durk,Dree The Drummer,6
Lil Durk,Metro Boomin,2
Lil Durk,TyMadeIt,5
Lil Durk,Donis Beats,7
Lil Durk,Jack Flash,1
Lil Durk,Chase Davis,6
Lil Durk,Wheezy,1
Lil Durk,Allen Ritter,1
Lil Durk,Boi-1da,3
Lil Durk,Vinylz,3
Lil Durk,DDS,2
Lil Durk,DJ Moondawg,2
Lil Durk,DJ Victoriouz,1
Lil Durk,Izze The Producer,2
Lil Durk,BWheezy,1
Lil Durk,Flexx Beats,1
