Artist,Producer,weight
Ludacris,Juicy J,2
Ludacris,Drumma Boy,1
Ludacris,9th Wonder,1
Ludacris,Trak Starz,2
Ludacris,Happy Perez,1
Ludacris,DJ Montay,1
Ludacris,DJ Don Cannon,2
Ludacris,Eminem,1
Ludacris,Mr. Porter,1
Ludacris,DJ Khaled,1
Ludacris,Trackmasters,2
Ludacris,The Neptunes,8
Ludacris,Gaggie,1
Ludacris,Mr. Jonz,1
Ludacris,The Medicine Men,1
Ludacris,Lil Ronnie,1
Ludacris,Da Internz,5
Ludacris,Jermaine Dupri,1
Ludacris,L.V.M.,4
Ludacris,DJ Nasty,4
Ludacris,P. King,1
Ludacris,DJ Mustard,1
Ludacris,DJ Green Lantern,2
Ludacris,Erick Sermon,1
Ludacris,Mo B. Dick,2
Ludacris,Heazy,1
Ludacris,T-Minus,3
Ludacris,FATBOI,2
Ludacris,Tony Dinero,1
Ludacris,B Crucial,1
Ludacris,Wyldfyer,2
Ludacris,Infinity,1
Ludacris,Steven Q-Beatz,1
Ludacris,Bigg D,1
Ludacris,Icedrake,3
Ludacris,Xcel,1
Ludacris,Tone Mason,1
Ludacris,Timbaland,4
Ludacris,Vudu,2
Ludacris,Three 6 Mafia,1
Ludacris,David Banner,1
Ludacris,Frank Dukes,1
Ludacris,Remo the Hitmaker,1
Ludacris,DJ Pain,1
Ludacris,KLC,1
Ludacris,D.R.U.G.S,1
Ludacris,DJ Premier,1
Ludacris,The Legendary Traxster,2
Ludacris,Mel&Mus,1
Ludacris,J.U.S.T.I.C.E. League,1
Ludacris,Kyle Justice,1
Ludacris,Salaam Remi,1
Ludacris,Ne-Yo,1
Ludacris,Cashmere Cat,1
Ludacris,Needlz,1
Ludacris,KC Da Beatmonster,1
Ludacris,Donnie Scantz,1
Ludacris,Polow da Don,3
Ludacris,Andre Harris,2
Ludacris,Vidal Davis,2
Ludacris,Zukhan,1
Ludacris,David Guetta,1
Ludacris,Giorgio Tuinfort,1
Ludacris,FKi,1
Ludacris,M16,1
Ludacris,Scarface,1
Ludacris,Kajun,1
Ludacris,ID Labs,1
Ludacris,Jo Christo,1
Ludacris,StreetRunner,1
Ludacris,LT Moe,1
Ludacris,Kanye West,1
Ludacris,Black Key,1
Ludacris,"Sidney ""Omen"" Brown",1
Ludacris,Just Blaze,1
Ludacris,Cool,1
Ludacris,Dre,1
Ludacris,Nineteen85,1
Ludacris,Rich Skillz,1
Ludacris,Rodney Jerkins,1
Ludacris,Big K.R.I.T.,1
Ludacris,Craig King,1
Ludacris,8TRIX,1
